State,Political Lean
Alabama,Republican
Alaska,Republican
Arizona,Republican
Arkansas,Republican
California,Democrat
Colorado,Democrat
Connecticut,Democrat
District_of_Columbia,Democrat
Delaware,Democrat
Florida,Republican
Georgia,Republican
Hawaii,Democrat
Idaho,Republican
Illinois,Democrat
Indiana,Republican
Iowa,Republican
Kansas,Republican
Kentucky,Republican
Louisiana,Republican
Maine,Democrat
Maryland,Democrat
Massachusetts,Democrat
Michigan,Republican
Minnesota,Democrat
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
Nevada,Republican
New_Hampshire,Democrat
New_Jersey,Democrat
New_Mexico,Democrat
New_York,Democrat
North_Carolina,Republican
North_Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democrat
Pennsylvania,Republican
Rhode_Island,Democrat
South_Carolina,Republican
South_Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Democrat
Virginia,Democrat
Washington,Democrat
West_Virginia,Republican
Wisconsin,Republican
Wyoming,Republican
